替代(前),替代(後)
北庄,BD
賓朗,BL
卑南,BN
卑南國小,BNE
卑南農會,BNFC
卑南國中,BNJH
慶豐,CF
初來,CL2
初鹿,CL
初鹿國中,CLJH
中央市場,CM
加拿,CN
池上國中,CSJH
池上郵局,CSP
親水公園,CSPK
池上站,CSS
池上鄉公所,CSTO
東成,DC
頂庄,DD
德高,DG
大同農場,DTF
富里,FL
富南國小,FNE
公東高工,GDHS
關山,GS
更生路,GSR
關山慈濟,GSTJ
光榮,GZ
海端,HD
湖底,HD2
嘉豐入口,JFE
集貨場,JHS
景豐,JF
錦屏,JP
簡易法庭,JYC
崁頂,KD
陸安,LA
龍過脈,LGM
隴下,LS
龍田,LT
鹿野,LY
鹿野國中,LYJH
鹿野鄉公所,LYTO
明峰,MF
馬蘭加油站,MLGS
馬蘭榮家,MLZH
美濃,MN
美濃入口,MNE
南王,NW
舊鹿鳴,OLM
瑞興,RS
下賓朗,SBL
新生國小,SCE
新生站,SCS
署東醫院,SDH
十股,SG
新豐,SF
山平路,SPR
新興,SS
變電所,SUBS
四維,SW
四維路口,SWC
台東,TD
煙草間,TR
永安農場,UAF
永隆分校,ULSC
永興,US
武陵,WL
武麟山莊,WLV
水源地,WS
螢橋,YC
永隆,YL
月眉,YM
月眉國小,YME
忠慶,ZC
瑞和,ZH
種蓄場,ZSS
瑞源,ZU
瑞源教會,ZUC
瑞源農會,ZUFC
